,strategy_id,Sec_0,sec_0_price,sec_0_GO,sec_1,W_0,SM,SM_sh,sec_1_GO,param_num,N,P,V_0
0,AFZ5_1,AFZ5,5461.0,1410.0,MMZ5,0.201,1;1;0.1;0.0,4;7;0.2;0.8,3225.95,1,0.002,-1e-05,6
1,AKZ5_1,AKZ5,13602.0,3548.96,MMZ5,0.5,1;2;0.1;0.0,4;17;0.2;0.8,3225.95,1,0.002,-1e-05,2
2,ALZ5_1,ALZ5,4313.0,1137.45,MMZ5,0.158,1;1;0.1;0.0,4;5;0.2;0.8,3225.95,1,0.001,-1e-05,8
3,ASZ5_1,ASZ5,304.0,103.39,MMZ5,0.011,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,89
4,BSZ5_1,BSZ5,3365.0,1204.0,MMZ5,0.123,1;1;0.1;0.0,4;4;0.2;0.8,3225.95,1,0.001,-1e-05,7
5,CHZ5_1,CHZ5,96091.0,20465.1,MMZ5,3.536,9;19;0.1;0.0,36;124;0.2;0.8,3225.95,1,0.002,-1e-05,1
6,FLZ5_1,FLZ5,8100.0,1491.4,MMZ5,0.298,1;1;0.1;0.0,4;10;0.2;0.8,3225.95,1,0.001,-1e-05,6
7,GKZ5_1,GKZ5,1255.0,232.89,MMZ5,0.046,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,39
8,GZZ5_1,GZZ5,12089.0,2225.63,MMZ5,0.444,1;2;0.1;0.0,4;15;0.2;0.8,3225.95,1,0.001,-1e-05,4
9,HDZ5_1,HDZ5,3313.0,1113.42,MMZ5,0.121,1;1;0.1;0.0,4;4;0.2;0.8,3225.95,1,0.001,-1e-05,8
10,IRZ5_1,IRZ5,31126.0,8200.27,MMZ5,1.145,3;6;0.1;0.0,12;40;0.2;0.8,3225.95,1,0.001,-1e-05,1
11,LKZ5_1,LKZ5,60752.0,13237.2,MMZ5,2.236,6;12;0.1;0.0,24;78;0.2;0.8,3225.95,1,0.001,-1e-05,1
12,MCZ5_1,MCZ5,7030.0,2369.02,MMZ5,0.258,1;1;0.1;0.0,4;9;0.2;0.8,3225.95,1,0.001,-1e-05,3
13,MEZ5_1,MEZ5,16866.0,3096.27,MMZ5,0.62,1;3;0.1;0.0,4;21;0.2;0.8,3225.95,1,0.001,-1e-05,3
14,MGZ5_1,MGZ5,27922.0,5149.8,MMZ5,1.027,2;5;0.1;0.0,8;36;0.2;0.8,3225.95,1,0.003,-1e-05,1
15,MNZ5_1,MNZ5,3177.0,735.24,MMZ5,0.116,1;1;0.1;0.0,4;4;0.2;0.8,3225.95,1,0.001,-1e-05,12
16,MTZ5_1,MTZ5,21005.0,4473.92,MMZ5,0.773,2;4;0.1;0.0,8;27;0.2;0.8,3225.95,1,0.003,-1e-05,2
17,MVZ5_1,MVZ5,592.0,464.49,MMZ5,0.021,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,20
18,NKZ5_1,NKZ5,112737.0,24477.6,MMZ5,4.149,11;22;0.1;0.0,44;146;0.2;0.8,3225.95,1,0.001,-1e-05,1
19,NMZ5_1,NMZ5,10627.0,2258.83,MMZ5,0.391,1;2;0.1;0.0,4;13;0.2;0.8,3225.95,1,0.001,-1e-05,4
20,PHZ5_1,PHZ5,6841.0,1297.24,MMZ5,0.251,1;1;0.1;0.0,4;8;0.2;0.8,3225.95,1,0.001,-1e-05,7
21,PIZ5_1,PIZ5,5443.0,1154.19,MMZ5,0.2,1;1;0.1;0.0,4;7;0.2;0.8,3225.95,1,0.001,-1e-05,8
22,PSZ5_1,PSZ5,1138.0,381.61,MMZ5,0.041,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,24
23,PXZ5_1,PXZ5,23150.0,4460.08,MMZ5,0.852,2;4;0.1;0.0,8;30;0.2;0.8,3225.95,1,0.001,-1e-05,2
24,RLZ5_1,RLZ5,3143.0,579.01,MMZ5,0.115,1;1;0.1;0.0,4;4;0.2;0.8,3225.95,1,0.003,-1e-05,16
25,RNZ5_1,RNZ5,42109.0,8995.08,MMZ5,1.549,4;8;0.1;0.0,16;54;0.2;0.8,3225.95,1,0.002,-1e-05,1
26,S0Z5_1,S0Z5,956.0,325.92,MMZ5,0.035,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,28
27,SCZ5_1,SCZ5,1294.0,238.67,MMZ5,0.047,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,38
28,SEZ5_1,SEZ5,2196.0,1008.75,MMZ5,0.08,1;1;0.1;0.0,4;2;0.2;0.8,3225.95,1,0.001,-1e-05,9
29,SGZ5_1,SGZ5,38686.0,8541.11,MMZ5,1.423,3;7;0.1;0.0,12;50;0.2;0.8,3225.95,1,0.003,-1e-05,1
30,SNZ5_1,SNZ5,21754.0,4639.86,MMZ5,0.8,2;4;0.1;0.0,8;28;0.2;0.8,3225.95,1,0.001,-1e-05,2
31,SOZ5_1,SOZ5,4920.0,987.38,MMZ5,0.181,1;1;0.1;0.0,4;6;0.2;0.8,3225.95,1,0.001,-1e-05,9
32,SPZ5_1,SPZ5,29486.0,5433.26,MMZ5,1.085,2;5;0.1;0.0,8;38;0.2;0.8,3225.95,1,0.001,-1e-05,1
33,SRZ5_1,SRZ5,29593.0,5439.93,MMZ5,1.089,2;5;0.1;0.0,8;38;0.2;0.8,3225.95,1,0.001,-1e-05,1
34,SSZ5_1,SSZ5,1008.0,503.86,MMZ5,0.037,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,18
35,SZZ5_1,SZZ5,1296.0,914.6,MMZ5,0.047,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,10
36,TBZ5_1,TBZ5,3094.0,592.02,MMZ5,0.113,1;1;0.1;0.0,4;4;0.2;0.8,3225.95,1,0.001,-1e-05,15
37,TNZ5_1,TNZ5,1281.0,271.84,MMZ5,0.047,1;1;0.1;0.0,4;1;0.2;0.8,3225.95,1,0.001,-1e-05,34
38,TTZ5_1,TTZ5,61142.0,11355.11,MMZ5,2.25,6;12;0.1;0.0,24;79;0.2;0.8,3225.95,1,0.001,-1e-05,1
39,VBZ5_1,VBZ5,7025.0,1286.74,MMZ5,0.258,1;1;0.1;0.0,4;9;0.2;0.8,3225.95,1,0.002,-1e-05,7
